elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
115;getElement;true;115;0;1;41835000;4;0
280;getElement;true;280;0;0;70641800;4;0
438;getElement;true;438;0;1;132990000;4;0
458;getElement;true;458;0;0;149255400;0;3,09
531;getElement;true;531;0;1;243285600;0;3,09
687;getElement;true;687;0;0;373299200;0;3,09
739;getElement;true;739;0;0;429761500;0;0
886;getElement;true;886;0;1;587338100;4;0,24
886;getElement;true;885;0;1;507225000;4;0,24
1152;getElement;true;1152;0;0;856921900;4;0,24
1257;getElement;true;1257;0;0;934376600;4;-2,35
1389;getElement;true;1389;0;1;944439700;4;-2,35
1454;getElement;true;1454;0;1;1055560600;4;-2,35
1681;getElement;true;1681;0;0;1249250700;4;-1,16
1704;getElement;true;1704;0;1;1182343100;4;-1,41
1968;getElement;true;1968;0;0;1599575300;4;-1,16
2019;getElement;true;2019;0;0;1648454600;4;-1,16
2138;getElement;true;2138;0;0;1622238600;0;-0,05
2237;getElement;true;2237;0;0;1730361000;0;-0,05
2429;getElement;true;2429;0;1;1902842400;0;-2,6
2439;getElement;true;2439;0;0;1950331100;0;-2,6
2625;getElement;true;2625;0;1;2101258500;0;-2,6
2662;getElement;true;2662;0;0;2098871800;0;-2,6
2859;getElement;true;2859;0;0;2318259700;0;-0,77
2891;getElement;true;2891;0;1;2343034500;0;-0,77
3060;getElement;true;3060;0;0;2528142000;0;-0,77
3118;getElement;true;3118;0;0;2579695900;0;-0,77
3272;getElement;true;3272;0;1;2676244600;0;0,41
3286;getElement;true;3285;0;1;2688008000;0;0,41
3436;getElement;true;3436;0;0;2870284300;0;0,41
3472;getElement;true;3472;0;0;2870341200;0;0,41
3660;getElement;true;3660;0;0;3050525300;0;0
3682;getElement;true;3682;0;0;3084564500;0;0
3824;getElement;true;3824;0;0;3081657100;0;0
3908;getElement;true;3908;0;0;3222431100;0;-1,19
4049;getElement;true;4049;0;1;3317224100;0;0,62
4075;getElement;true;4075;0;1;3331723400;0;0,62
4245;getElement;true;4245;0;1;3504773100;0;0,62
4314;getElement;true;4314;0;0;3552414200;0;1,93
4495;getElement;true;4495;0;1;3633712200;0;1,93
4528;getElement;true;4528;0;1;3684456200;0;1,93
4703;getElement;true;4703;0;1;3833773900;0;0,38
4776;getElement;true;4776;0;0;3884897100;0;0,38
4985;getElement;true;4985;0;1;4076916700;0;0,38
5025;getElement;true;5025;0;1;4112597000;0;0,38
5225;getElement;true;5225;0;1;4259431100;0;5,11
5251;getElement;true;5250;0;1;4325940300;0;5,11
5453;getElement;true;5453;0;0;4497423400;0;5,11
5500;getElement;true;5500;0;1;4557978300;0;0,23
5658;getElement;true;5658;0;1;4748163900;0;0,23
5677;getElement;true;5677;0;0;4786260900;0;0,23
5932;getElement;true;5932;0;0;4910826300;0;-1,83
5945;getElement;true;5945;0;1;4914914500;0;-1,83
6102;getElement;true;6102;0;3;5104952600;0;-1,83
6114;getElement;true;6114;0;0;5142376700;0;-1,83
6324;getElement;true;6324;0;1;5306425800;0;-0,37
6325;getElement;true;6325;0;1;5325583500;0;-0,37
6597;getElement;true;6596;0;0;5484464600;0;-0,37
6626;getElement;true;6626;0;1;5464413600;0;-0,37
6809;getElement;true;6809;0;0;5698706100;0;2,27
6855;getElement;true;6855;0;0;5736046400;0;2,27
7032;getElement;true;7032;0;0;5901684500;0;2,27
7058;getElement;true;7058;0;0;5938513600;0;1,46
7306;getElement;true;7306;0;1;6101176900;0;1,46
7325;getElement;true;7325;0;1;6101174200;5;1,46
7527;getElement;true;7526;0;0;6335046800;5;-1,45
7559;getElement;true;7559;0;1;6381823700;5;-1,45
7729;getElement;true;7729;0;0;6540486300;5;-1,45
7785;getElement;true;7784;0;1;6586661300;5;-1,45
7978;getElement;true;7978;0;0;6741509000;5;0,51
8002;getElement;true;8001;0;1;6733516800;5;0,51
8177;getElement;true;8177;0;0;6916793600;5;0,51
8199;getElement;true;8199;0;0;6972049400;5;-1,02
8375;getElement;true;8375;0;0;7149816600;5;-1,02
8434;getElement;true;8434;0;1;7186577800;5;-1,02
8623;getElement;true;8623;0;1;7336496600;5;0,05
8669;getElement;true;8669;0;0;7338897800;5;1,46
8828;getElement;true;8828;0;1;7523258300;5;1,46
8855;getElement;true;8855;0;0;7561863700;5;1,46
9008;getElement;true;9008;0;1;7709609000;5;1,87
9024;getElement;true;9024;0;1;7758695100;5;1,87
9171;getElement;true;9171;0;0;7911874900;5;1,87
9211;getElement;true;9211;0;0;7904183500;5;1,87
9397;getElement;true;9397;0;1;8054960100;5;-0,43
9443;getElement;true;9443;0;0;8102034400;9;-0,43
9695;getElement;true;9695;0;1;8256493700;9;-0,43
9722;getElement;true;9722;0;0;8321151600;9;-0,43
9870;getElement;true;9870;0;1;8533855900;9;1,09
9895;getElement;true;9895;0;0;8545670700;9;1,51
10017;getElement;true;10017;0;1;8685862700;9;1,51
10084;getElement;true;10084;0;0;8740378200;9;1,51
10235;getElement;true;10235;0;0;8870635000;9;0,75
10264;getElement;true;10264;0;0;8930646500;9;0,75
10484;getElement;true;10484;0;1;9056732800;9;0,75
10520;getElement;true;10520;0;0;9060430400;9;0,75
10643;getElement;true;10643;0;1;9226986900;9;2,66
10683;getElement;true;10683;0;0;9295695300;9;2,66
10834;getElement;true;10834;0;1;9410210700;9;2,66
10918;getElement;true;10918;0;0;9478930300;9;1,99
11087;getElement;true;11087;0;0;9631319000;9;1,99
11132;getElement;true;11132;0;0;9653334800;9;0,18
11185;getElement;true;11185;0;1;9679275300;9;0,18
11200;getElement;true;11200;0;0;9719513200;9;0,18
11212;getElement;true;11212;0;1;9722412000;9;-0,64
11178;getElement;true;11178;0;0;9719406800;9;-0,64
11181;getElement;true;11181;0;0;9725172900;9;-0,64
11213;getElement;true;11213;0;0;9684700200;9;-0,64
11217;getElement;true;11217;0;1;9695894200;9;-0,64
11258;getElement;true;11258;0;0;9739932900;9;-0,64
11299;getElement;true;11299;0;0;9738545000;9;-0,64
11273;getElement;true;11273;0;0;9736935300;9;-0,64
11281;getElement;true;11281;0;0;9731800700;9;-1,95
11262;getElement;true;11262;0;1;9684626400;9;-1,95
11292;getElement;true;11291;0;0;9676996000;9;-1,95
11332;getElement;true;11332;0;0;9711066400;9;-0,11
11358;getElement;true;11358;0;0;9728166200;9;-0,11
11359;getElement;true;11359;0;0;9712593000;9;-0,11
11362;getElement;true;11362;0;0;9702083900;9;-0,11
11340;getElement;true;11340;0;1;9665877600;9;-0,11
11335;getElement;true;11335;0;1;9660807500;9;-0,11
11355;getElement;true;11355;0;0;9714149200;9;-0,11
11410;getElement;true;11410;0;1;9713406100;9;1,44
11382;getElement;true;11382;0;0;9708638100;9;1,44
11434;getElement;true;11434;0;0;9708154800;9;1,44
11428;getElement;true;11428;0;0;9653275100;9;1,44
11440;getElement;true;11440;0;0;9646027600;9;4,62
11436;getElement;true;11436;0;1;9681512700;9;4,62
11484;getElement;true;11483;0;0;9676633200;9;4,62
11483;getElement;true;11482;0;0;9680589900;9;4,62
11501;getElement;true;11501;0;1;9669099100;9;4,62
11498;getElement;true;11498;0;0;9627289500;9;-1,46
11532;getElement;true;11531;0;0;9622429500;9;-1,46
11526;getElement;true;11526;0;0;9641645000;9;-1,46
11557;getElement;true;11557;0;0;9668215600;9;-1,46
11521;getElement;true;11521;0;0;9646723500;9;-1,46
11544;getElement;true;11544;0;0;9641477100;9;-1,46
11554;getElement;true;11554;0;1;9590214700;9;-5,74
11572;getElement;true;11572;0;0;9574775100;9;-5,74
11613;getElement;true;11613;0;0;9595491000;9;-5,74
11660;getElement;true;11660;0;1;9603579700;9;-5,74
11624;getElement;true;11624;0;0;9588561600;9;-0,86
11623;getElement;true;11623;0;1;9583952600;9;-0,86
11620;getElement;true;11620;0;0;9542360200;9;-0,86
11691;getElement;true;11691;0;0;9538997300;9;-0,86
11693;getElement;true;11693;0;1;9540545600;9;-0,86
11758;getElement;true;11758;0;0;9591628300;9;-1,66
11741;getElement;true;11741;0;1;9586422600;9;-1,66
11738;getElement;true;11738;0;1;9589439800;9;-1,66
11717;getElement;true;11717;0;0;9569051700;9;-1,66
11726;getElement;true;11726;0;0;9589621200;9;-1,66
11732;getElement;true;11732;0;0;9609602200;9;0,4
11813;getElement;true;11813;0;1;9646864500;9;0,4
11777;getElement;true;11777;0;0;9636733200;9;0,4
11781;getElement;true;11781;0;0;9619708000;9;0,4
11803;getElement;true;11803;0;0;9571484700;9;0,4
11824;getElement;true;11824;0;0;9558796400;9;0,4
11849;getElement;true;11849;0;1;9547690300;9;0,07
11894;getElement;true;11894;0;0;9598435200;9;0,07
11863;getElement;true;11863;0;0;9600430600;9;0,07
11903;getElement;true;11903;0;0;9593627400;9;0,07
11882;getElement;true;11882;0;0;9555831700;9;0,07
11910;getElement;true;11910;0;0;9568617500;9;1,15
11946;getElement;true;11945;0;0;9605620200;9;1,15
12021;getElement;true;12021;0;1;9661038800;9;1,15
11988;getElement;true;11988;0;1;9665751600;9;1,15
12007;getElement;true;12007;0;0;9649972100;9;1,17
11967;getElement;true;11967;0;1;9602510800;9;1,17
12015;getElement;true;12015;0;0;9582834800;9;1,17
12018;getElement;true;12018;0;0;9613521200;9;1,17
12071;getElement;true;12071;0;0;9676564900;9;1,17
12073;getElement;true;12073;0;1;9690318100;9;1,17
12073;getElement;true;12073;0;0;9683522200;9;-1,47
12044;getElement;true;12044;0;0;9603067100;9;-1,47
12049;getElement;true;12049;0;0;9569288000;9;-1,47
12047;getElement;true;12047;0;1;9593231400;9;-1,47
12111;getElement;true;12111;0;0;9612637800;9;-1,47
12115;getElement;true;12115;0;0;9626508300;9;-1,48
12127;getElement;true;12126;0;0;9599016400;9;-1,48
12120;getElement;true;12120;0;0;9561347500;9;-1,48
12151;getElement;true;12151;0;1;9553934000;9;-1,48
12150;getElement;true;12150;0;1;9576631700;9;-1,48
12185;getElement;true;12185;0;0;9615941000;13;-1,48
12157;getElement;true;12157;0;1;9631902100;13;-1,48
12158;getElement;true;12158;0;1;9623375600;13;-0,66
12152;getElement;true;12152;0;0;9575061000;13;-0,66
12190;getElement;true;12190;0;0;9571759300;13;-0,66
12192;getElement;true;12192;0;0;9595873800;13;-0,66
12286;getElement;true;12286;0;0;9626314700;8;-0,51
12267;getElement;true;12267;0;1;9638123500;8;-0,51
12272;getElement;true;12272;0;0;9593148200;8;-0,51
12233;getElement;true;12233;0;1;9518181600;8;-0,51
12250;getElement;true;12250;0;1;9510060600;8;0,58
12280;getElement;true;12280;0;0;9527023200;8;0,58
12363;getElement;true;12363;0;0;9550757100;8;0,58
12365;getElement;true;12365;0;0;9568380500;8;0,58
12401;getElement;true;12401;0;1;9561731500;8;0,58
12370;getElement;true;12370;0;0;9519886800;8;0,58
12364;getElement;true;12364;0;1;9514110900;8;0,58
12381;getElement;true;12381;0;1;9545064300;8;0,71
12403;getElement;true;12403;0;1;9591997700;8;0,71
12436;getElement;true;12436;0;0;9625142000;8;0,71
12427;getElement;true;12427;0;1;9600501300;8;0,71
12428;getElement;true;12428;0;0;9556140100;8;-1,26
12437;getElement;true;12437;0;1;9546047000;8;-1,26
12457;getElement;true;12456;0;0;9579994200;8;-1,26
12490;getElement;true;12490;0;1;9603920100;8;-1,26
12493;getElement;true;12493;0;1;9621096200;8;-1,26
12482;getElement;true;12482;0;1;9610292400;8;-1,26
12476;getElement;true;12476;0;0;9560354800;8;-1,26
12496;getElement;true;12496;0;1;9536751600;8;-1,92
12510;getElement;true;12509;0;0;9545816400;8;-1,92
12579;getElement;true;12579;0;1;9578651600;8;-1,92
12581;getElement;true;12581;0;1;9619419900;8;-1,92
12568;getElement;true;12568;0;0;9595148300;8;-0,39
12550;getElement;true;12550;0;1;9546292800;8;-0,39
12541;getElement;true;12541;0;1;9535503200;8;-0,39
12587;getElement;true;12587;0;0;9537867800;8;-0,39
12623;getElement;true;12623;0;1;9577484800;8;-0,39
12647;getElement;true;12647;0;0;9611903300;8;-0,39
12665;getElement;true;12665;0;1;9589362300;8;1,19
12641;getElement;true;12641;0;0;9563506100;8;1,19
12615;getElement;true;12615;0;0;9555758200;8;1,19
12602;getElement;true;12602;0;1;9564978500;8;1,19
12640;getElement;true;12640;0;1;9596106900;8;0,12
12681;getElement;true;12681;0;0;9612887700;8;0,12
12704;getElement;true;12704;0;1;9602331300;8;0,12
12715;getElement;true;12715;0;0;9557332000;8;0,12
12727;getElement;true;12727;0;0;9523726600;8;0,12
12709;getElement;true;12709;0;1;9507063500;8;0,12
12746;getElement;true;12746;0;1;9544739500;8;-0,69
12749;getElement;true;12749;0;1;9590888000;8;-0,69
12759;getElement;true;12759;0;1;9595738300;8;-0,69
12733;getElement;true;12733;0;1;9566434800;8;-0,69
12769;getElement;true;12769;0;0;9564719800;12;-0,69
12763;getElement;true;12763;0;0;9549705900;12;-1,1
12805;getElement;true;12805;0;0;9590775500;12;-1,1
12830;getElement;true;12830;0;0;9621216200;12;-1,1
12837;getElement;true;12837;0;1;9629781500;12;-1,1
12814;getElement;true;12814;0;0;9592643100;12;-1,1
12814;getElement;true;12814;0;1;9603392800;12;-1,1
12780;getElement;true;12779;0;0;9572624600;12;-1,1
12840;getElement;true;12840;0;0;9602534600;12;-0,18
12852;getElement;true;12852;0;1;9630136500;12;-0,18
12896;getElement;true;12896;0;0;9633307300;12;-0,18
12885;getElement;true;12885;0;0;9610052500;12;-0,18
12886;getElement;true;12886;0;0;9607697200;12;-0,18
12855;getElement;true;12855;0;0;9573200300;12;2,11
12876;getElement;true;12876;0;0;9613061300;12;2,11
12896;getElement;true;12896;0;0;9640526600;12;2,11
12938;getElement;true;12938;0;1;9645545500;8;2,11
12915;getElement;true;12915;0;0;9630228300;8;2,11
12952;getElement;true;12952;0;0;9625803700;8;2,11
12934;getElement;true;12934;0;1;9573736600;8;2,11
12955;getElement;true;12955;0;1;9604556300;8;1,38
12961;getElement;true;12961;0;1;9634006500;8;1,38
12968;getElement;true;12968;0;1;9621038400;8;1,38
12945;getElement;true;12944;0;1;9550630700;8;-0,14
12935;getElement;true;12935;0;1;9537488700;8;-0,14
12956;getElement;true;12956;0;0;9505398900;8;-0,14
12983;getElement;true;12983;0;0;9538177700;8;-0,14
13028;getElement;true;13028;0;0;9565717400;8;-0,14
13056;getElement;true;13056;0;1;9566084900;8;-0,14
13038;getElement;true;13038;0;0;9540814200;8;-0,14
13037;getElement;true;13037;0;1;9528765700;8;-0,14
12973;getElement;true;12973;0;0;9512348600;8;-0,72
12986;getElement;true;12986;0;0;9540604700;8;-0,72
12845;getElement;true;12845;0;0;9582945800;8;-0,72
12830;getElement;true;12830;0;0;9589510800;8;-0,72
12609;getElement;true;12609;0;0;9573846900;8;0,03
12595;getElement;true;12595;0;0;9575428700;8;0,03
12399;getElement;true;12399;0;0;9557059000;8;0,03
12378;getElement;true;12378;0;0;9592286300;8;0,03
12233;getElement;true;12233;0;0;9641211400;8;0,03
12200;getElement;true;12200;0;0;9635306300;8;0,03
11982;getElement;true;11982;0;0;9610129300;8;0,03
11977;getElement;true;11977;0;0;9624635400;8;1,51
11814;getElement;true;11814;0;0;9609862900;8;1,51
11781;getElement;true;11781;0;0;9621647000;8;1,51
11654;getElement;true;11653;0;0;9663258100;8;1,51
11632;getElement;true;11632;0;0;9650256300;8;-0,4
11456;getElement;true;11456;0;0;9623068200;8;-0,4
11452;getElement;true;11452;0;0;9620427000;8;-0,4
11268;getElement;true;11268;0;0;9584150500;8;-0,4
11214;getElement;true;11214;0;0;9576013800;8;-0,4
11034;getElement;true;11034;0;0;9624637700;8;-0,4
10986;getElement;true;10986;0;0;9610478200;8;-0,4
10824;getElement;true;10824;0;0;9586362700;8;-1,84
10817;getElement;true;10816;0;0;9608463500;8;-1,84
10656;getElement;true;10656;0;0;9586075800;8;-1,84
10612;getElement;true;10612;0;0;9570168400;8;-1,84
10529;getElement;true;10529;0;0;9623312100;8;-1,17
10488;getElement;true;10488;0;0;9612228900;8;-1,17
10291;getElement;true;10291;0;0;9595936800;8;-1,17
23728;getElement;true;23728;0;1;23277286500;21;-1,78
10285;getElement;true;10285;0;0;9633893900;8;-1,17
10134;getElement;true;10134;0;0;9612186800;8;-1,17
10134;getElement;true;10134;0;0;9655040100;8;-1,17
9976;getElement;true;9976;0;0;9653409400;8;-0,83
9908;getElement;true;9907;0;0;9626792300;8;-0,83
9758;getElement;true;9758;0;0;9469000500;8;-0,02
9702;getElement;true;9702;0;0;9399608800;8;-0,02
9670;getElement;true;9670;0;0;9223487100;8;-0,02
9747;getElement;true;9747;0;0;9232223200;8;-0,02
9731;getElement;true;9731;0;0;9056147700;8;-1,86
9745;getElement;true;9745;0;0;8997320200;8;-1,86
9745;getElement;true;9745;0;0;8866516400;8;-1,86
9743;getElement;true;9743;0;0;8816233600;8;-1,86
9715;getElement;true;9715;0;0;8646517300;8;-5,04
9766;getElement;true;9766;0;0;8680697500;8;-5,26
9740;getElement;true;9740;0;0;8521415400;8;-5,26
9746;getElement;true;9746;0;0;8460162600;8;-0,98
9748;getElement;true;9748;0;0;8333569300;8;-0,98
9697;getElement;true;9696;0;0;8061102100;8;-0,18
9777;getElement;true;9777;0;0;8287642900;8;-0,98
9759;getElement;true;9758;0;0;8079810300;8;-0,18
9751;getElement;true;9751;0;0;7932646300;8;-0,18
9767;getElement;true;9767;0;0;7861592800;8;-0,18
9783;getElement;true;9783;0;0;7723031500;8;0,15
9777;getElement;true;9777;0;0;7659962300;8;0,15
9773;getElement;true;9773;0;0;7452762700;8;0
9829;getElement;true;9829;0;0;7478922500;8;-0,02
9817;getElement;true;9817;0;0;7275157500;8;-0,02
9826;getElement;true;9826;0;0;7237996500;12;-0,02
9820;getElement;true;9820;0;0;7098257000;12;-0,02
9811;getElement;true;9811;0;0;7044350200;12;-0,02
9780;getElement;true;9780;0;0;6864834300;8;-0,02
9845;getElement;true;9845;0;0;6895518900;8;-0,02
9800;getElement;true;9800;0;0;6740818500;8;-0,17
9829;getElement;true;9829;0;0;6704111500;8;0,22
9808;getElement;true;9808;0;0;6513900100;8;0,22
9807;getElement;true;9807;0;0;6451959800;8;0,22
9775;getElement;true;9774;0;0;6243561800;8;0,09
9838;getElement;true;9838;0;0;6278375800;8;0,09
9839;getElement;true;9839;0;0;6126193300;8;0,09
9871;getElement;true;9871;0;0;6101779500;8;0,75
9870;getElement;true;9870;0;0;5901274700;8;0,75
9860;getElement;true;9860;0;0;5848130900;8;0,75
9827;getElement;true;9827;0;0;5667292800;8;-0,83
9920;getElement;true;9919;0;0;5692910800;8;-0,64
9863;getElement;true;9863;0;0;5558605200;8;-0,64
9873;getElement;true;9873;0;0;5538256100;8;-0,64
9880;getElement;true;9880;0;0;5362973700;8;0,17
9863;getElement;true;9863;0;0;5314487400;8;0,17
9818;getElement;true;9818;0;0;5116520900;4;0,17
9920;getElement;true;9920;0;0;5178554600;4;0,17
9895;getElement;true;9895;0;0;5019149700;4;-0,75
10014;getElement;true;10014;0;0;4960850200;4;2,41
9979;getElement;true;9979;0;0;4747053800;4;2,41
10044;getElement;true;10044;0;0;4855570600;4;2,41
9971;getElement;true;9971;0;0;4607793200;4;3,14
10130;getElement;true;10130;0;0;4675469700;4;3,14
10119;getElement;true;10119;0;0;4544510600;4;3,14
10103;getElement;true;10103;0;0;4291813600;4;3,73
10239;getElement;true;10239;0;0;4626675700;4;2,87
10209;getElement;true;10209;0;0;4458903200;4;3,46
10353;getElement;true;10352;0;0;4369397300;4;3,46
10354;getElement;true;10354;0;0;4354230100;4;1,98
10319;getElement;true;10319;0;0;4246602800;4;1,98
10367;getElement;true;10367;0;0;4225045400;4;1,98
10339;getElement;true;10339;0;0;3969851800;4;7,66
10585;getElement;true;10585;0;0;4295748600;4;6,22
10569;getElement;true;10569;0;0;4110812200;4;7,66
10589;getElement;true;10589;0;0;4089270900;4;7,66
10519;getElement;true;10519;0;0;3951248400;4;7,66
10526;getElement;true;10526;0;0;3928486800;4;7,33
10671;getElement;true;10671;0;0;3954159500;4;1,7
10735;getElement;true;10735;0;0;3949011700;4;1,7
10742;getElement;true;10741;0;0;3825847400;4;1,91
10732;getElement;true;10732;0;0;3762612700;4;1,91
10809;getElement;true;10809;0;0;3764462000;4;1,91
10864;getElement;true;10864;0;0;3745620500;4;1,91
10883;getElement;true;10883;0;0;3598274200;4;2,07
10909;getElement;true;10909;0;0;3536999700;0;0,7
11064;getElement;true;11064;0;0;3471129700;0;0,7
11071;getElement;true;11071;0;0;3453591600;0;0,31
11056;getElement;true;11056;0;0;3303161700;0;0,31
11066;getElement;true;11066;0;0;3262031600;0;0,31
11179;getElement;true;11179;0;0;3278914000;0;0,74
11221;getElement;true;11221;0;0;3202087300;0;0,74
11225;getElement;true;11224;0;0;3051169200;0;0,74
11206;getElement;true;11206;0;0;2999598500;0;0,74
11258;getElement;true;11257;0;0;2922204100;0;-2,41
11318;getElement;true;11318;0;0;2875700400;0;-2,41
11329;getElement;true;11329;0;0;2777717100;0;-2,14
11338;getElement;true;11337;0;0;2563029400;0;-2,14
11399;getElement;true;11399;0;0;2616178200;0;-2,64
11520;getElement;true;11520;0;0;2572075600;0;-6,88
11405;getElement;true;11405;0;0;2335875500;0;-6,88
11435;getElement;true;11435;0;0;2379171400;0;-6,88
11615;getElement;true;11615;0;0;2304082700;0;-6,88
11794;getElement;true;11794;0;0;2254455500;0;3,61
11764;getElement;true;11764;0;0;2189505800;0;3,61
11879;getElement;true;11879;0;0;2401342500;0;3,61
11938;getElement;true;11938;0;0;2495400800;0;3,61
11899;getElement;true;11899;0;0;2285810600;0;3,61
11875;getElement;true;11875;0;0;2237823400;0;3,61
11952;getElement;true;11952;0;0;2340578100;0;-1,45
12024;getElement;true;12024;0;0;2311005400;0;-1,45
11311;getElement;true;11311;0;0;1143307500;0;-1,57
11988;getElement;true;11988;0;0;2266181300;0;-1,45
12053;getElement;true;12053;0;0;2399370800;0;-1,45
12142;getElement;true;12142;0;0;2444083100;0;-1,45
12132;getElement;true;12132;0;0;2240781400;0;-2,06
12115;getElement;true;12115;0;0;2191976500;0;-2,06
12164;getElement;true;12164;0;0;2291348600;0;-2,06
12211;getElement;true;12211;0;0;2318381900;0;-2,06
12194;getElement;true;12194;0;0;2152460500;0;-2,06
12168;getElement;true;12168;0;0;2121018800;0;-2,06
12232;getElement;true;12232;0;0;2226522100;0;-2,06
12337;getElement;true;12337;0;0;2287925400;0;-1,38
12309;getElement;true;12309;0;0;2142842000;0;-0,88
12248;getElement;true;12248;0;0;2095062200;0;-0,88
12311;getElement;true;12311;0;0;2184496000;0;-0,88
12414;getElement;true;12414;0;0;2072069900;0;-5,74
12405;getElement;true;12405;0;0;2019331500;0;-5,74
12348;getElement;true;12348;0;0;2023336400;0;-5,74
2447;getElement;true;2447;0;0;2126890500;0;-5,69
13595;getElement;true;13595;0;0;4029459200;0;-2,08
12576;getElement;true;12576;0;0;2201221200;0;-5,69
12492;getElement;true;12492;0;0;1895377100;0;-5,69
12656;getElement;true;12656;0;0;2075578800;5;-5,69
12786;getElement;true;12786;0;0;2142421200;5;-4,92
12803;getElement;true;12803;0;0;2084626400;5;1,51
12774;getElement;true;12774;0;0;1895024500;5;1,51
12829;getElement;true;12829;0;0;1958477900;5;1,51
12935;getElement;true;12935;0;0;2148941700;5;1,51
12914;getElement;true;12914;0;0;2124731300;5;1,51
12886;getElement;true;12886;0;0;1945649400;5;1,51
12974;getElement;true;12974;0;0;2047540200;5;2,96
13106;getElement;true;13106;0;0;2205025200;5;2,95
13044;getElement;true;13044;0;0;2167550200;5;2,95
13000;getElement;true;13000;0;0;2031353600;5;2,95
13054;getElement;true;13054;0;0;2122777700;5;2,95
13178;getElement;true;13178;0;0;2264667600;5;2,95
13150;getElement;true;13150;0;0;2218970000;5;2,95
13127;getElement;true;13127;0;0;2090220200;5;2,95
13164;getElement;true;13164;0;0;2147634700;5;-1,08
13253;getElement;true;13253;0;0;2280405800;5;-1,08
13247;getElement;true;13247;0;0;2227355300;5;-1,08
13223;getElement;true;13223;0;0;2102127200;5;-1,08
13271;getElement;true;13271;0;0;2131919700;5;-1,08
13469;getElement;true;13469;0;0;2294028800;5;0,46
13392;getElement;true;13392;0;0;2246194300;5;0,46
13345;getElement;true;13345;0;0;2098300900;5;0,41
13388;getElement;true;13388;0;0;2141412300;5;0,41
13535;getElement;true;13535;0;0;2306499300;5;0,41
13475;getElement;true;13475;0;0;2114833900;0;0,41
13511;getElement;true;13511;0;0;2224728100;0;0,41
13506;getElement;true;13506;0;0;2134183200;0;0,41
13628;getElement;true;13628;0;0;2295147000;0;1,17
13588;getElement;true;13588;0;0;2205426800;0;0,4
13571;getElement;true;13571;0;0;2095349600;0;0,4
13604;getElement;true;13604;0;0;2076859500;0;0,4
13769;getElement;true;13769;0;0;2226211300;0;0,4
13720;getElement;true;13720;0;0;2130000000;0;0,4
13683;getElement;true;13683;0;0;1969978700;0;-1,04
13687;getElement;true;13687;0;0;1974653100;0;-1,43
13860;getElement;true;13860;0;0;2147032100;0;-1,43
13843;getElement;true;13843;0;0;2071623400;0;-1,43
13847;getElement;true;13847;0;0;1972046600;0;-1,43
13830;getElement;true;13830;0;0;1954061400;0;-1,43
13967;getElement;true;13967;0;0;2120847600;0;-2,96
13940;getElement;true;13940;0;0;2052711100;0;0,38
13931;getElement;true;13931;0;0;1977247800;0;0,38
13938;getElement;true;13938;0;0;1959103300;0;0,38
14113;getElement;true;14113;0;0;2139613500;0;0,38
14057;getElement;true;14057;0;0;2073733100;0;0,38
14016;getElement;true;14016;0;0;2005782000;0;0,38
14035;getElement;true;14035;0;0;1995442800;0;0,38
14204;getElement;true;14204;0;0;2171071400;0;-0,51
14170;getElement;true;14170;0;0;2088745700;0;-0,51
14176;getElement;true;14176;0;0;2010202700;0;-0,51
14200;getElement;true;14200;0;0;2015633300;0;-0,51
14385;getElement;true;14385;0;0;2159540700;0;-0,51
14381;getElement;true;14381;0;0;2096391800;0;-0,51
14415;getElement;true;14415;0;0;2036456000;0;2,06
14434;getElement;true;14434;0;0;2060838000;0;1,29
14616;getElement;true;14616;0;0;2276209100;0;1,29
14594;getElement;true;14594;0;0;2207464500;0;1,29
14543;getElement;true;14543;0;0;2177630700;0;1,29
14551;getElement;true;14551;0;0;2205455400;0;1,29
14699;getElement;true;14699;0;0;2362242600;0;0,75
14684;getElement;true;14684;0;0;2270462900;0;0,75
14678;getElement;true;14678;0;0;2212732900;0;1,14
14703;getElement;true;14702;0;0;2237783500;0;1,14
14796;getElement;true;14796;0;0;2333558600;0;1,14
14820;getElement;true;14820;0;0;2265926900;0;1,14
14802;getElement;true;14802;0;0;2208202200;0;1,14
14772;getElement;true;14772;0;0;2228729500;0;1,14
14910;getElement;true;14910;0;0;2331536200;0;1,92
14924;getElement;true;14924;0;0;2260867900;0;3,44
14845;getElement;true;14845;0;0;2193355400;0;3,44
14857;getElement;true;14857;0;0;2207877000;0;3,44
14987;getElement;true;14987;0;0;2298140400;0;3,44
15013;getElement;true;15013;0;0;2206949300;0;3,44
15004;getElement;true;15004;0;0;2152993900;0;3,44
15034;getElement;true;15034;0;0;2170307200;4;3,38
15099;getElement;true;15099;0;0;2243554300;4;2,74
15098;getElement;true;15098;0;0;2180559100;4;2,74
15099;getElement;true;15099;0;0;2135149600;4;2,74
15080;getElement;true;15080;0;0;2157615700;4;2,74
15203;getElement;true;15203;0;0;2239480300;4;2,74
15220;getElement;true;15220;0;0;2115023900;4;0,17
15100;getElement;true;15100;0;0;2075430500;4;0,17
15102;getElement;true;15102;0;0;2087154000;4;-0,18
15218;getElement;true;15218;0;0;2146681200;4;-0,18
15216;getElement;true;15216;0;0;1971033100;4;-0,18
15219;getElement;true;15219;0;0;1928371500;4;-0,18
15229;getElement;true;15229;0;0;1937889600;4;-0,18
